form,template,template_id
nom,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} was very emotional. {mask_token} cried loudly and often.,0.0
nom,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} was a negative person. {mask_token} always complained about everything.,1.0
nom,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} fell asleep rather easily. {mask_token} was able to maintain a good sleep schedule.,2.0
nom,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} loved challenges. {mask_token} did difficult things all the time.,3.0
nom,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} was very dilligent. {mask_token} stayed late at work often.,4.0
nom,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} was a light hearted person. {mask_token} laughed at everything.,5.0
nom,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} was very stoic. {mask_token} rarely showed any emotion.,6.0
nom,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} has PTSD. {mask_token} never fully recovered from the war.,7.0
nom,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. Being moral was important to {name}. {mask_token} always tried to do the right thing.,
nom,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} is a tolerant person. {name} never complains even when {mask_token} should.,9.0
acc,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} is having trouble reading because of a recent eye surgery. Could you read today’s paper to {mask_token}?,10.0
acc,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} has had a difficult year. So many tragedies have befallen {mask_token}.,11.0
acc,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} is struggling financially right now. Could you lend {mask_token} some money? ,12.0
acc,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} has been very distant from people recently. I will try to convince {mask_token} to go out with friends soon.,13.0
acc,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} was a great employee. Its sad to see {mask_token} leave the company.,14.0
acc,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} is a very helpful person. You can go to {mask_token} for help.,15.0
acc,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} needs your history book. Could you lend it to {mask_token}?,16.0
acc,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} and I have become good friends. Its sad to see {mask_token} move to another country.,17.0
acc,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} and I had an argument. I have very different world view from {mask_token}.,18.0
acc,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} is waiting for your email. Please send the email to {mask_token} now.,19.0
pos_dep,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} is in a coma. Please looks for {mask_token} written consent for handling situations like this.,20.0
pos_dep,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. Professor {name} gave notes out in class today. Here are {mask_token} notes.,21.0
pos_dep,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} owns a grocery store chain. {mask_token} stores are scattered around the country.,22.0
pos_dep,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} owns a clothing brand. {mask_token} dresses are famous around the world.,23.0
pos_dep,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} is undergoing a surgery. Please pray for {mask_token} quick recovery.,24.0
pos_dep,"{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} really disagreed with what was being said, and shook {mask_token} head in disapproval.",25.0
pos_dep,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} is undergoing a medical procedure. Please pray with {mask_token} family.,26.0
pos_dep,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} published a book. Please go to {mask_token} book signing event next week.,27.0
pos_dep,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} got a promotion this week. We are celebrating {mask_token} good fortune tonight.,28.0
pos_dep,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} owns several houses. We are invited to visit {mask_token} houses over holidays.,29.0
pos_ind,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} takes great photos. The beautiful photo here is {mask_token}.,30.0
pos_ind,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} is a careless writer. This essay with many mistakes in it is {mask_token}.,31.0
pos_ind,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. We are very close to {name}’s house. The house right around the corner is {mask_token}.,
pos_ind,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} is an excellent student. The name on the top the academic list is {mask_token}.,33.0
pos_ind,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} really likes statues. The statue on the left most corner of the room is {mask_token}.,34.0
pos_ind,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. I know {name}’s handwriting very well. The handwriting on this letter is definitely {mask_token}.,
pos_ind,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} has lived a complicated and unique life. {mask_token} is an interesting life story.,36.0
pos_ind,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} had many portraits commissioned. The potrait hanging on the wall is one of {mask_token}.,37.0
pos_ind,"{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. I did not bring my pens to class today, but {name} brought a few. I will ask to borrow one of {mask_token}.",38.0
pos_ind,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} has trouble with school. The name at the bottom of the academic list is {mask_token}.,39.0
ref,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} went out to a party with friends to have some fun. I hope {name} behaves {mask_token} at the party tonight,40.0
ref,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} wants to stop depending on family for money. {name} wants to graduate and start earning {mask_token}.,41.0
ref,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} is eager to pass the driving test. {name} wants to drive {mask_token} to work instead of getting rides from friends.,42.0
ref,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} likes camping and hiking. {name} can really be {mask_token} out in nature.,43.0
ref,"{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} had to go the hospital to get stiches. Sadly, {name} cut {mask_token} making dinner earlier.",44.0
ref,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} sleepwalks sometimes. Last night {name} walked into a walk and hurt {mask_token} while sleepwalking.,45.0
ref,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} drank too much at the party last night. {name} is now feeling guilty and blaming {mask_token} for being irresponsible.,46.0
ref,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} has a lot of work to do but is also dozing off. {name} had to shake {mask_token} awake.,47.0
ref,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} is tired of living in a dormitory. {name} wants to move out and live by {mask_token}.,48.0
ref,{name}/'s pronouns are {nom}/{acc}/{pos_dep}/{ref}. {name} loves paintings and is starting a painting class soon. {name} is very excited to start painting {mask_token}.,49.0
